Country,Year,SuicideRate,GDP_USD,GDPGrowthAnnualPercent,RegionMetDataGDP,IncomeGroupFromGDP,SpecialNotesFromGDP
Belgium,2009,18.3,4.83E+11,-2.020743062,Europe & Central Asia,High income,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 40.3399 Belgian franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries."
Belgium,2010,18.2,4.81E+11,2.864292708,Europe & Central Asia,High income,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 40.3399 Belgian franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries."
Belgium,2011,18.6,5.23E+11,1.694513899,Europe & Central Asia,High income,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 40.3399 Belgian franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries."
Belgium,2012,17.9,4.96E+11,0.739217283,Europe & Central Asia,High income,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 40.3399 Belgian franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries."
Belgium,2013,16.6,5.22E+11,0.459242193,Europe & Central Asia,High income,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 40.3399 Belgian franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries."
Belgium,2014,16.5,5.35E+11,1.578533143,Europe & Central Asia,High income,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 40.3399 Belgian franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries."
Belgium,2015,16.2,4.62E+11,2.041459009,Europe & Central Asia,High income,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 40.3399 Belgian franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries."
Belgium,2016,16.3,4.76E+11,1.266686409,Europe & Central Asia,High income,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 40.3399 Belgian franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries."
Belgium,2017,14.8,5.03E+11,1.619580278,Europe & Central Asia,High income,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 40.3399 Belgian franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries."
Bulgaria,1995,28.3,18983288690,2.861232771,Europe & Central Asia,Upper middle income,
Bulgaria,1996,31.8,12294204609,5.205394067,Europe & Central Asia,Upper middle income,
Bulgaria,1997,28.8,11315986087,-14.11538174,Europe & Central Asia,Upper middle income,
Bulgaria,1998,31.5,15030696433,3.789120642,Europe & Central Asia,Upper middle income,
Bulgaria,1999,27.8,13627325461,-8.396090667,Europe & Central Asia,Upper middle income,
Bulgaria,2000,28.6,13245834315,4.587224782,Europe & Central Asia,Upper middle income,
Bulgaria,2001,26.8,14183497963,3.823703363,Europe & Central Asia,Upper middle income,
Bulgaria,2002,28.1,16402846413,5.871931433,Europe & Central Asia,Upper middle income,
Bulgaria,2003,23.2,21144982397,5.237155215,Europe & Central Asia,Upper middle income,
Bulgaria,2004,21.3,26157892832,6.510425341,Europe & Central Asia,Upper middle income,
Bulgaria,2005,20.2,29869284035,7.05634894,Europe & Central Asia,Upper middle income,
Bulgaria,2006,21.5,34379808889,6.802589226,Europe & Central Asia,Upper middle income,
Bulgaria,2007,18.7,44432811756,6.654386825,Europe & Central Asia,Upper middle income,
Bulgaria,2008,19.5,54481376860,6.129559704,Europe & Central Asia,Upper middle income,
Bulgaria,2009,18.4,52023505367,-3.347142095,Europe & Central Asia,Upper middle income,
Bulgaria,2010,18.4,50682061053,1.541801443,Europe & Central Asia,Upper middle income,
Bulgaria,2011,16.7,57678241024,2.10120575,Europe & Central Asia,Upper middle income,
Bulgaria,2012,18.8,54300857424,0.754930386,Europe & Central Asia,Upper middle income,
Bulgaria,2013,15.9,55810138436,-0.560493966,Europe & Central Asia,Upper middle income,
Bulgaria,2014,15.5,57082011260,0.966869032,Europe & Central Asia,Upper middle income,
Bulgaria,2015,14.5,50781996713,3.428054914,Europe & Central Asia,Upper middle income,
Bulgaria,2016,14.6,53953897624,3.039825276,Europe & Central Asia,Upper middle income,
Bulgaria,2017,15.3,59199447421,2.76217096,Europe & Central Asia,Upper middle income,
Canada,1995,13.5,6.04E+11,,North America,High income,Fiscal year end: March 31; reporting period for national accounts data: CY.
Canada,1996,13.4,6.29E+11,,North America,High income,Fiscal year end: March 31; reporting period for national accounts data: CY.
Canada,1997,12.4,6.55E+11,,North America,High income,Fiscal year end: March 31; reporting period for national accounts data: CY.
Canada,1998,12.3,6.34E+11,3.896151829,North America,High income,Fiscal year end: March 31; reporting period for national accounts data: CY.
Canada,1999,13.3,6.78E+11,5.162913624,North America,High income,Fiscal year end: March 31; reporting period for national accounts data: CY.
Canada,2000,11.6,7.45E+11,5.177635668,North America,High income,Fiscal year end: March 31; reporting period for national accounts data: CY.
Canada,2001,11.8,7.39E+11,1.78997288,North America,High income,Fiscal year end: March 31; reporting period for national accounts data: CY.
Canada,2002,11.6,7.61E+11,3.018050512,North America,High income,Fiscal year end: March 31; reporting period for national accounts data: CY.
Canada,2003,11.8,8.96E+11,1.801518136,North America,High income,Fiscal year end: March 31; reporting period for national accounts data: CY.
Canada,2004,11.2,1.03E+12,3.086980809,North America,High income,Fiscal year end: March 31; reporting period for national accounts data: CY.
Canada,2005,11.3,1.17E+12,3.204200428,North America,High income,Fiscal year end: March 31; reporting period for national accounts data: CY.
Canada,2006,11,1.32E+12,2.634303814,North America,High income,Fiscal year end: March 31; reporting period for national accounts data: CY.
Canada,2007,10.7,1.47E+12,2.069409888,North America,High income,Fiscal year end: March 31; reporting period for national accounts data: CY.
Canada,2008,10.9,1.55E+12,1.007622695,North America,High income,Fiscal year end: March 31; reporting period for national accounts data: CY.
Canada,2009,11.2,1.37E+12,-2.928400167,North America,High income,Fiscal year end: March 31; reporting period for national accounts data: CY.
Canada,2010,11.3,1.62E+12,3.08949462,North America,High income,Fiscal year end: March 31; reporting period for national accounts data: CY.
Canada,2011,10.9,1.79E+12,3.146881372,North America,High income,Fiscal year end: March 31; reporting period for national accounts data: CY.
Canada,2012,11,1.83E+12,1.762222549,North America,High income,Fiscal year end: March 31; reporting period for national accounts data: CY.
Canada,2013,11.2,1.85E+12,2.329122506,North America,High income,Fiscal year end: March 31; reporting period for national accounts data: CY.
Canada,2014,11.7,1.81E+12,2.870036075,North America,High income,Fiscal year end: March 31; reporting period for national accounts data: CY.
Canada,2015,12,1.56E+12,0.659176864,North America,High income,Fiscal year end: March 31; reporting period for national accounts data: CY.
Canada,2016,10.7,1.53E+12,1.001394414,North America,High income,Fiscal year end: March 31; reporting period for national accounts data: CY.
Canada,2017,11.1,1.65E+12,3.039880225,North America,High income,Fiscal year end: March 31; reporting period for national accounts data: CY.
Czech Republic,1995,18.2,60147174077,,Europe & Central Asia,High income,
Czech Republic,1996,16.3,67387788633,,Europe & Central Asia,High income,
Czech Republic,1997,17,62180159376,,Europe & Central Asia,High income,
Czech Republic,1998,16.4,66807429711,,Europe & Central Asia,High income,
Czech Republic,1999,16.4,65173130995,,Europe & Central Asia,High income,
Czech Republic,2000,16.5,61828166496,,Europe & Central Asia,High income,
Czech Republic,2001,16.1,67808032980,,Europe & Central Asia,High income,
Czech Republic,2002,15.3,82196001051,,Europe & Central Asia,High income,
Czech Republic,2003,17.1,1E+11,,Europe & Central Asia,High income,
Czech Republic,2004,15.4,1.2E+11,,Europe & Central Asia,High income,
Czech Republic,2005,15.2,1.37E+11,,Europe & Central Asia,High income,
Czech Republic,2006,13.4,1.56E+11,,Europe & Central Asia,High income,
Czech Republic,2007,13.1,1.9E+11,,Europe & Central Asia,High income,
Czech Republic,2008,13,2.37E+11,,Europe & Central Asia,High income,
Czech Republic,2009,13.6,2.07E+11,,Europe & Central Asia,High income,
Czech Republic,2010,13.9,2.09E+11,,Europe & Central Asia,High income,
Czech Republic,2011,14.7,2.3E+11,,Europe & Central Asia,High income,
Czech Republic,2012,15.2,2.09E+11,,Europe & Central Asia,High income,
Czech Republic,2013,14.5,2.12E+11,,Europe & Central Asia,High income,
Czech Republic,2014,13.7,2.09E+11,,Europe & Central Asia,High income,
Czech Republic,2015,12.6,1.88E+11,,Europe & Central Asia,High income,
Czech Republic,2016,12,1.96E+11,,Europe & Central Asia,High income,
Czech Republic,2017,12.8,2.19E+11,,Europe & Central Asia,High income,
Denmark,1995,18.1,1.85E+11,3.027587267,Europe & Central Asia,High income,
Denmark,1996,17.4,1.88E+11,2.900099769,Europe & Central Asia,High income,
Denmark,1997,15.9,1.74E+11,3.260890158,Europe & Central Asia,High income,
